id,PS_1
227,24.78
228,16.8
229,16.65909091
230,16.24324324
231,15.825
232,15.45
233,16.04545455
234,16.45833333
235,17.23076923
236,17
237,16.125
238,16.59090909
239,16.425
240,15.9
241,17.825
242,18.50909091
243,18.09302326
244,17.64
245,18
246,17.44444444
247,17.1
248,17.58181818
249,16.68627451
250,17.34782609
251,16.94736842
252,16.8
253,18.225
254,19.13636364
255,17.77272727
256,18.45454545
257,18.92727273
258,18
259,18.27906977
260,18.16666667
261,17.57894737
262,17.40740741
263,17.04859366
264,19.5
265,20.38636364
266,19.95
267,19.72
268,20.18181818
269,19.29090909
270,19.97727273
271,19.23636364
272,18.56756757
273,19.06818182
274,18.81818182
275,18.38
276,17.95555556
277,18.61363636
278,20.10416667
279,19.45454545
280,18.925
281,18.47727273
282,19.84090909
283,18.8
284,18.4
285,18.13513514
286,17.76190476
287,19.53846154
288,20.72413793
289,21.10526316
290,20.48
291,22.75
292,23.12
293,22.77083333
294,23.65
295,22.5
296,23.04545455
297,22.83636364
298,21.69230769
299,21.625
300,22.475
301,22.02272727
302,22.26
303,21.81818182
304,21.65909091
305,22.125
306,22.27272727
307,22.54
308,22.03636364
309,21.61818182
310,21.84090909
311,21.40909091
312,21.67272727
313,19.55
314,19.42
315,19.83636364
316,20.28
317,19.175
318,19.61363636
319,18.70454545
320,21.27272727
321,21.5
322,20.58
323,21.10909091
324,20.475
325,20.86363636
326,21.325
327,22.38181818
328,22.15909091
329,22.63636364
330,23.125
331,22.45454545
332,22
333,21.75
334,23.85714286
335,24.12121212
336,23.72727273
337,23.28
338,23.975
339,23.52272727
340,23.36363636
341,22.175
342,21.2
343,21.02
344,21.9
345,21.47272727
346,20.85
347,21.725
348,20.94545455
349,21.38
350,20.72727273
351,20.35
352,20.63636364
353,19.69090909
354,20.14
355,23.82
356,22.9
357,24.06818182
358,22.7
359,23.11363636
360,23.6
361,23.01818182
362,24.44444444
363,24.35714286
364,24.94444444
365,25
366,24.27272727
367,23.5
368,78.36363636
369,77.84615385
370,116.0833333
371,79.625
372,79
373,77.57142857
374,76.57142857
375,75.07692308
376,74.6
377,39.4
378,38.81818182
379,39.9
380,39
381,38.3
382,39.04545455
383,38.28571429
384,73.9375
385,41.11111111
386,41.2
387,75.57142857
388,60.27272727
389,77.66666667
390,60.05555556
391,123.6666667
392,78
393,116
394,127
395,127.1111111
396,78.22222222
397,78.44444444
398,125.4285714
399,126
400,119.5555556
401,120.5714286
402,120.2
403,60
404,60.13333333
405,59.66666667
406,61.27272727
407,60.77777778
408,80.77777778
409,80.33333333
410,80.26666667
411,119
412,133.2
413,58.28571429
414,58.79166667
415,58.75
416,131.6842105
417,132.0434783
418,132.75
419,134.2307692
420,103
421,131.9333333
422,132.1774194
423,133.3269231
424,132.8181818
425,133.8461538
426,132.75
427,134.25
428,124.75
429,51.65
430,51.02380952
431,51.73333333
432,51.04545455
433,50.39393939
434,51.38095238
435,51.11111111
436,50.6875
437,51
438,103.5
439,51.41666667
440,51.8
441,124.7
442,123.2666667
443,123.9591837
444,123.5666667
445,124.2727273
446,125
447,124.3157895
448,124.5849057
449,123.6470588
450,98.35
451,98.38461538
452,55.75
453,57.55172414
454,56.9047619
455,58.31818182
456,121.3157895
457,121.0909091
458,120.8461538
459,120.8
460,120.75
461,99.3125
462,99
463,59.4
464,59.3125
465,106.125
466,59.5
467,58.86666667
468,62.63636364
469,62.13043478
470,113.68
471,111.12
472,112.4
473,111.8545455
474,110.56
475,111.1636364
476,109.96
477,114.32
478,115.5454545
479,116.9272727
480,116.2727273
481,114.9272727
482,113.12
483,114.3272727
484,118.1458333
485,119
486,117.54
487,118.625
488,119.1304348
489,118.5
490,117.8
491,118.5333333
492,117.5217391
493,118.2
494,116.8363636
495,117.5344828
496,116.1969697
497,116.8409091
498,128.6
499,130.2580645
500,128.3421053
501,89
502,90.23333333
503,89.58
504,88.30909091
505,87
506,87.68181818
507,88.9
508,90.875
509,91.51515152
510,92.74576271
511,90.85454545
512,92.1
513,90.18181818
514,92.71212121
515,93.68
516,89.70967742
517,87.6744186
518,92
519,93.11111111
520,105.1363636
521,104.4761905
522,105.5
523,103.6136364
524,102.7333333
525,108.0833333
526,108.7272727
527,106.1636364
528,107.44
529,106.75
530,108.0454545
531,106.12
532,108.76
533,109.9636364
534,107.7027027
535,111.3272727
536,110.6666667
537,106.9137931
538,109.3636364
539,108.4615385
540,105.7777778
541,110.96
542,112.7424242
543,111.4090909
544,110.1578947
545,110.6969697
546,109.4736842
547,119.96
548,119.4347826
549,114.725
550,114.2711864
551,115.34
552,116.58
553,115.9848485
554,114.6833333
555,113.4848485
556,115.2424242
557,113.9833333
558,114.7424242
559,112.4444444
560,113.4545455
561,111.6216216
